REQID,CLIENTID,REASON,LOAN,BAD,DEROG,DELINQ,CLAGE,NINQ,DEBTINC,INCOME,CREDIT_SCORE
10000,11135157-kwqm,Home Improvement,21600,0,0,0,626.7713928,1,21.24168423,178040,761
10010,11167992-pwpn,Home Improvement,26400,0,1,0,255.415514,3,37.65291911,123255,827
10020,11168688-cxzh,Debt Consolidation,22000,1,,12,218,1,35.72993802,102975,512
10040,11197158-lkfr,Debt Consolidation,17400,0,0,0,148.9162275,1,34.38702843,52110,608
10050,11200784-wuav,Debt Consolidation,27300,0,0,0,144.0934649,0,41.48280369,61960,417
10060,11215088-pkyx,Debt Consolidation,31300,0,0,0,230.4130352,0,42.66665957,45475,574
10070,11233225-fuhy,Debt Consolidation,21700,0,0,0,154.5525474,1,34.7717086,52660,543
10080,11253017-kone,Home Improvement,10000,1,0,0,171.4333333,0,39.00537158,61495,608
10090,11344457-jipv,Debt Consolidation,21300,0,0,0,185.7,0,16.65478508,43615,564
10100,11413361-jldi,Home Improvement,65200,0,0,1,134.6809067,0,43.56886383,61895,765
10110,11423386-mrdx,Debt Consolidation,10800,1,0,0,110.5666667,5,20.48651449,61550,827
10120,11431615-wulp,Home Improvement,4700,0,2,0,283.9595381,0,36.47547328,61870,635
10130,11468715-pakp,Debt Consolidation,19200,0,0,0,128.7145138,1,22.18728999,46285,642
10150,11534853-qgfe,Debt Consolidation,16500,0,,,102.1303682,2,31.56688527,44250,867
10160,11547946-ovqh,Home Improvement,12000,0,0,2,206.3192338,1,29.84313667,46670,726
10170,11560874-zbhe,Home Improvement,5900,0,0,0,120.3794143,0,41.44250046,43090,620
10180,11561461-vzkh,Auto Financing,9000,0,0,0,243.2,0,10.92285873,45255,416
10190,11603129-wcdh,Medical Expense,12600,0,0,0,266.3331014,0,27.0078722,52645,626
10200,11626975-xlkf,Debt Consolidation,16600,0,0,0,98.76022323,1,39.7995274,61600,308
10210,11693280-fmri,Home Improvement,40500,0,0,0,143.1288344,0,35.3375454,52475,765
10220,11759432-zckh,Home Improvement,9100,0,0,0,206.797361,1,32.39114639,61480,539
10230,11798490-owaz,Home Improvement,19800,0,2,3,166.6105316,,37.3082467,61780,543
10250,11911461-lvmr,Debt Consolidation,22000,0,0,0,202.578152,1,38.71719491,45890,771
10270,11976758-kmzf,Home Improvement,13800,0,0,0,68.58368974,0,36.83942264,61910,743
10280,12008783-cxym,Medical Expense,15000,0,0,0,211.0333333,0,44.9662254,43525,355
10310,12168476-pfka,Home Improvement,12000,0,0,1,108.6339686,0,40.79745755,44715,819
10330,12256944-demr,Home Improvement,7900,0,0,0,192.1211081,0,35.58605153,61810,540
10340,12259552-ejzf,Home Improvement,12600,0,1,2,198.8467209,0,36.83774105,61970,850
10350,12298830-fidk,Home Improvement,7900,0,0,0,59.08154143,0,41.07787822,52465,612
10360,12307443-nhnn,Debt Consolidation,12800,0,1,2,143.6827959,0,31.91327241,44695,663
10370,12331095-dmha,Debt Consolidation,15200,0,0,4,175.5373356,,26.98558122,61790,692
10380,12352872-qwwo,Home Improvement,11300,0,0,0,190.0312176,0,39.00867302,45465,782
10390,12363877-ilxo,Debt Consolidation,13600,0,0,0,115.3238836,0,36.85085748,61060,667
10410,12397676-rjdh,Debt Consolidation,15000,0,0,1,55.96666667,0,24.11197499,43480,581
10440,12437930-qpva,Debt Consolidation,13900,0,0,0,,0,38.39422244,61515,681
10450,12438801-maqa,Debt Consolidation,26100,0,0,0,161.2876716,0,34.13000366,45490,601
10470,12460620-myzu,Debt Consolidation,38200,0,0,0,61.17833505,1,40.32954242,61445,705
10480,12507963-ggoq,Debt Consolidation,9400,0,,,129.3438245,,42.26546612,52860,389
10500,12563508-hjkx,Wedding,6000,0,1,4,445.9490733,,32.97719723,52115,308
10510,12566060-mifq,Home Improvement,24300,0,2,1,404.6716492,,15.52923014,45785,650
10520,12609100-bbkl,Home Improvement,4000,0,0,0,,0,17.37488188,52215,578
10530,12623799-ymmp,Debt Consolidation,26000,0,0,0,290.7585045,0,36.97751891,61735,387
10540,12634687-yupo,Debt Consolidation,13600,0,0,0,238.62182,3,31.55270697,52450,423
10550,12756447-bhex,Debt Consolidation,8600,0,0,0,73.03333333,1,6.823480499,52050,601
10560,12819774-zpdv,Debt Consolidation,30600,0,,,115.2108955,,33.07135028,40375,493
10580,12946164-eykf,Debt Consolidation,18100,0,0,0,154.4259959,0,33.67802577,61205,799
10590,13010855-iblq,Home Improvement,9700,0,0,0,308.9955757,1,41.41428065,43345,818
10600,13038538-bcaa,Debt Consolidation,20800,0,0,4,174.9585772,0,37.48854569,40745,698
10620,13102478-dxwe,Home Improvement,25000,0,0,0,116.6333333,2,43.84688592,43745,773
10630,13147311-wmcy,Debt Consolidation,17300,0,0,0,147.5533245,2,36.42721874,61165,612
10640,13176632-mpjd,Home Improvement,6500,0,2,5,115.3666667,1,36.10102975,61970,414
10650,13187609-vbgf,Home Improvement,51100,0,2,0,269.3359755,6,41.08753538,43025,657
10670,13283316-gzfz,Debt Consolidation,13800,0,0,0,230.4575544,10,33.38331418,222885,565
10680,13306474-nklr,Home Improvement,13500,0,0,1,98.41775325,0,39.2941028,258190,799
10690,13311150-xdkx,Debt Consolidation,9000,0,0,0,75.38855124,1,30.49800512,483455,841
10700,13332609-cnby,Debt Consolidation,20500,0,0,0,176.3666652,1,37.86483283,52510,777
10710,13360135-kqje,Home Improvement,5000,0,0,0,258.7616067,,48.69203818,46750,385
10720,13388581-oryc,Debt Consolidation,35200,0,0,1,183.3734524,2,40.7798487,43585,705
10730,13502300-hkra,Debt Consolidation,42900,0,0,0,160.7297557,0,39.46919961,91105,797
10740,13523113-yabm,Home Improvement,27700,0,0,0,87.00250011,0,84.61388869,63435,548
10750,13526988-jjgj,Debt Consolidation,12000,0,0,0,288.5298732,0,22.42300246,58635,375
10760,13538910-fonq,Home Improvement,18500,0,1,0,178.6456365,0,30.93141022,49390,841
10770,13551772-kxzz,Home Improvement,9500,0,0,0,89.10283861,0,31.35390694,43455,796
10780,13560696-fmgv,Home Improvement,11000,0,0,0,440.4212537,0,26.90476645,61840,394
10800,13579376-kghb,Home Improvement,12100,0,0,2,191.5692916,0,29.20449956,52685,540
10810,13586458-iheh,Home Improvement,15600,0,0,0,90.3276282,1,29.67474957,47925,748
10820,13595475-ewke,Debt Consolidation,15500,0,0,0,298.476411,0,39.30720132,57570,416
10830,13649006-hbko,Debt Consolidation,18100,0,0,0,73.74671053,3,31.57101889,51110,680
10840,13660306-vozd,Debt Consolidation,8000,0,1,1,33.43333333,9,16.39308774,57485,413
10850,13688576-lhzz,Debt Consolidation,8800,0,0,0,108.9,0,11.82025099,176290,407
10860,13709753-emvm,Home Improvement,42000,0,0,0,102.5,1,14.82367962,76125,564
10880,13734091-cemj,Debt Consolidation,17900,0,1,2,138.0110083,0,38.2892023,71385,682
10890,13738127-hrqa,Home Improvement,38600,0,0,0,149.8811289,0,35.58278883,62605,437
10910,13843413-dubz,Debt Consolidation,15000,0,0,0,111.6,2,15.06895684,44980,669
10950,13898737-mfax,Debt Consolidation,12600,0,0,0,190.1599072,1,29.26631718,75980,300
10960,13979502-mhle,Debt Consolidation,14200,0,0,0,127.0600081,1,31.33876448,50935,386
10970,14012958-zkui,Home Improvement,20000,0,0,0,122.6666667,2,18.85362209,80555,767
10980,14071516-czhb,Debt Consolidation,14500,0,0,0,178.6,0,9.316553385,61190,598
11000,14134707-zlwu,Debt Consolidation,26800,0,2,1,114.4619553,7,2.83029717,45950,807
11010,14167953-veml,Debt Consolidation,47000,1,0,1,181.9333333,3,3.040172468,61760,651
11020,14168126-xauf,Debt Consolidation,18100,0,0,0,175.8953545,0,37.94552227,61960,606
11040,14195541-kzlh,Debt Consolidation,32700,0,0,0,197.9863148,0,41.52909627,61690,797
11050,14252586-pqwc,Home Improvement,11200,0,0,0,144.7952204,0,33.8858765,52780,799
11070,14324676-eauh,Debt Consolidation,11000,0,0,0,215.4317939,3,36.5693479,64240,427
11110,14450483-qazk,Debt Consolidation,9000,0,0,0,126.309835,0,33.75846632,44625,676
11120,14472490-ddcf,Debt Consolidation,18200,0,0,0,67,2,48.690317,69840,483
11130,14474771-drwr,Debt Consolidation,15700,0,0,0,178.8913882,0,23.74406826,74130,601
11140,14485485-yeur,Debt Consolidation,10700,0,0,1,178.6374675,0,31.88893638,78640,810
11150,14495622-ooez,Debt Consolidation,11000,0,0,0,155.3712203,4,42.53968571,46630,684
11170,14501003-bcll,Home Improvement,11100,0,0,0,125.7657749,0,35.50677407,43535,797
11180,14522421-ppgd,Debt Consolidation,15900,0,0,0,230.6730803,2,30.10831743,68015,337
11190,14532367-rmdw,Debt Consolidation,20700,0,0,0,114.0118385,0,40.76214878,45155,770
11200,14559904-dxkv,Wedding,5700,0,3,0,183.9182738,,24.27486528,44190,478
11210,14632423-ozzi,Debt Consolidation,20900,0,0,0,67.32456202,6,38.51325618,102420,816
11240,14674675-hhdw,Debt Consolidation,15500,1,7,4,95.9,2,44.5783639,47460,685
11260,14755182-mhvh,Debt Consolidation,18700,0,0,0,315.2604995,0,39.67583359,78705,406
11270,14763311-pfcy,Debt Consolidation,22200,0,0,0,288.4596954,0,37.74701961,52380,439
11280,14773006-lqeu,Home Improvement,15600,0,0,0,128.0295993,0,28.48485856,49925,541
11290,14794200-xwha,Debt Consolidation,24500,0,0,1,108.6501412,0,26.12743668,50070,535
11300,14814756-zieo,Home Improvement,17500,0,0,0,126.0794526,0,34.10902705,45195,789
11310,14833740-exir,Debt Consolidation,21500,0,0,0,128.6427857,0,34.28267592,49150,427
11330,14878789-bbpj,Debt Consolidation,19300,1,1,0,167.6579808,1,35.08607055,46760,510
11340,14889622-wmmi,Home Improvement,8200,0,0,0,123.2860249,0,35.87534399,49370,500
11350,14938957-kefw,Debt Consolidation,8900,0,0,0,144.0370039,0,33.90846584,76985,489
11370,14983519-zwnl,Debt Consolidation,16200,0,0,0,167.429347,0,23.69115685,78605,481
11380,14990678-wboz,Home Improvement,23600,0,0,0,357.8050619,0,30.56428034,45025,507
11390,15006459-mfoi,Debt Consolidation,26100,0,0,,79.33145984,,20.51714628,51970,548
11400,15018154-dzmh,Debt Consolidation,15000,0,0,0,239.5,0,36.76961083,51365,560
11420,15055684-ppdb,Debt Consolidation,7500,1,0,1,124.1333333,1,16.51992253,49620,487
11430,15057529-vxmk,Home Improvement,11900,0,0,0,250.4682419,0,30.30538811,46365,752
11440,15070175-krqf,Debt Consolidation,7900,0,1,0,110.0718569,1,25.40901671,61090,793
11450,15137327-goxp,Debt Consolidation,11600,0,0,3,201.369922,3,35.79580494,58590,724
11470,15229856-nmrz,Debt Consolidation,14000,0,0,0,186.9993588,2,25.81001106,61545,685
11480,15233348-wdgh,Home Improvement,17000,1,0,0,111.2350118,0,31.36287239,73200,540
11490,15240102-aaob,Debt Consolidation,24700,0,0,0,73.71525064,1,35.44157026,62000,470
11510,15258924-rpkm,Debt Consolidation,23100,0,,0,314.066374,1,38.04372621,51440,530
11530,15303690-xfvg,Debt Consolidation,15300,0,0,0,213.2860218,0,36.29035353,49040,350
11540,15337714-qdyj,Home Improvement,26500,0,0,0,229.3070258,1,37.740919,51530,406
11550,15364520-ebuq,Debt Consolidation,24400,1,0,2,229.3,7,32.69235471,68475,609
11560,15485233-ulih,Debt Consolidation,22700,0,0,1,109.5702924,3,34.61442256,45960,656
11580,15503128-ylhh,Home Improvement,11100,0,0,0,239.0505566,0,20.96127294,60100,656
11590,15523086-xhvq,Home Improvement,27100,0,0,0,92.51403036,2,29.74190894,55450,485
11600,15525845-dpru,Home Improvement,10500,0,0,0,182.3539,1,34.98345933,66950,477
11610,15561266-rllb,Home Improvement,5300,1,0,0,302.3587095,0,39.1969854,68400,665
11620,15573902-cvxx,Debt Consolidation,11800,0,0,0,74.15604508,0,42.81224294,47965,538
11630,15674215-yfhg,Home Improvement,14900,0,0,0,279.2407514,0,36.19837544,62990,660
11640,15674741-dpzz,Debt Consolidation,18500,0,0,0,282.9006093,1,40.0388411,51435,481
11670,15792427-joky,Debt Consolidation,16800,0,0,1,335.3003273,,36.21162681,56580,647
11680,15797539-fyio,Debt Consolidation,15900,0,,1,285.3869287,0,36.05038237,47580,833
11700,15825272-cfpy,Home Improvement,11000,0,0,0,241.0607911,0,25.21859995,58650,407
11710,15861441-wvyp,Debt Consolidation,16000,0,0,0,366.2666667,1,24.91778913,58690,359
11720,15869201-owuv,Debt Consolidation,10800,0,0,0,171.7595791,2,33.22779359,77995,398
11740,16016219-ofud,Home Improvement,7300,0,0,0,240.0567715,2,31.7246985,57975,763
11750,16032762-fxno,Home Improvement,4900,0,0,0,112.5734189,0,41.67399636,50715,641
11760,16037640-qknu,Debt Consolidation,8400,0,0,0,210.5800148,1,32.57186729,63335,481
11770,16095441-iuax,Debt Consolidation,26300,0,0,0,195.8476245,2,36.01849565,49650,622
11780,16111107-azmn,Debt Consolidation,25700,0,2,1,104.5662029,2,29.29663349,49000,435
11790,16198879-pjxo,Debt Consolidation,19900,0,0,0,242.3654026,0,39.44625142,48530,764
11800,16243369-wple,Home Improvement,31700,0,,,117.4739215,10,41.51283589,68740,809
11830,16284519-qiei,Debt Consolidation,24400,0,0,0,197.9695585,0,33.13017589,62155,392
11840,16299874-fvho,Debt Consolidation,15900,0,0,0,156.1013809,2,27.80854709,66465,764
11850,16307181-ajya,Home Improvement,7300,0,,,411.9520505,1,40.39647435,62030,409
11860,16315559-vpbf,Debt Consolidation,15800,0,,,85.27403355,2,33.56526399,58385,561
11880,16320438-jlqf,Debt Consolidation,13600,0,0,0,255.3787569,4,41.62539858,44070,794
11890,16366647-rlzc,Debt Consolidation,5100,0,0,0,277.9445608,1,23.64469128,55040,400
11900,16393886-wxpz,Debt Consolidation,25000,0,0,0,129.5495932,0,29.42773368,58630,655
11920,16412704-kjyu,Debt Consolidation,14500,0,0,0,250.4522894,10,36.87623453,73530,625
11950,16500299-jxmr,Home Improvement,31100,0,,,119.5395184,10,42.82660083,62155,522
11970,16553771-mbfm,Home Improvement,13900,0,0,0,297.9070847,1,25.94071095,58985,516
11980,16571356-wybw,Home Improvement,17700,0,0,1,271.3966671,0,27.2833953,60810,616
11990,16579891-qdjo,Home Improvement,20900,0,0,0,123.1148817,1,20.78174123,74140,352
12000,16584632-axhf,Home Improvement,19900,0,0,0,197.923806,0,35.33060397,46590,761
12010,16596308-zuvd,Home Improvement,23400,0,2,0,240.9999999,,28.97862141,45485,838
12020,16623923-pajy,Home Improvement,18000,0,0,0,202.9,0,25.7452426,61940,768
12030,16654805-vdwi,Home Improvement,3200,1,0,0,298.131564,0,35.55353879,61460,694
12040,16666634-ewci,Home Improvement,77400,1,0,2,73.46963001,3,40.92979326,46645,764
12060,16696456-afxr,Debt Consolidation,12600,0,0,0,141.6131456,2,40.74903888,48745,599
12070,16705447-ueyu,Debt Consolidation,9000,1,0,1,137.7840036,0,28.45471286,52420,788
12090,16742412-awox,Debt Consolidation,24900,1,0,0,293.2333333,0,31.26023847,52215,586
12100,16801648-orvd,Debt Consolidation,7000,0,0,0,90.38040908,3,36.30952679,63600,629
12110,16811895-bevk,Business,10000,1,0,1,179.1,2,14.85384199,58615,626
12120,16825948-ljel,Debt Consolidation,7900,0,0,0,116.3094934,0,35.42979658,61000,515
12130,16830705-kcfb,Debt Consolidation,5100,0,0,0,258.7892976,0,26.72234334,45895,826
12140,16845133-hcmi,Debt Consolidation,21400,0,1,0,172.0310693,0,19.63706875,40020,521
12150,16902794-fxoy,Debt Consolidation,10800,0,2,3,320.6556783,,35.26543738,52290,516
12170,16904626-xbug,Debt Consolidation,21400,0,0,4,173.5751047,0,37.82317309,47955,524
12180,16916872-yjri,Debt Consolidation,27100,0,1,0,92.14002902,6,33.5355472,40195,479
12190,16937739-kxkm,Debt Consolidation,20600,0,0,0,146.839968,0,33.94558615,40735,670
12210,17051148-leaz,Home Improvement,10800,0,2,1,346.9796514,1,16.48162968,43510,475
12220,17082271-zwmz,Home Improvement,9100,0,1,1,228.3963399,1,35.18184074,61140,478
12230,17096070-xugj,Debt Consolidation,15000,1,2,1,91.26666667,1,50.40917374,63075,712
12270,17166984-qwzb,Debt Consolidation,16600,1,1,3,209.9666667,0,49.96975494,61600,307
12290,17192193-hyzf,Home Improvement,12700,0,0,0,302.8700505,1,27.98946659,46515,371
12300,17192568-mimw,Auto Financing,10400,0,0,0,260.7972622,0,27.94286603,61165,763
12310,17212927-nhmm,Debt Consolidation,23300,1,0,1,153.2333333,6,18.71886022,61585,751
12320,17222366-wccd,Debt Consolidation,19900,0,,,178.574866,,37.72580119,52225,827
12340,17281252-lvog,Debt Consolidation,14400,0,0,0,83.2,3,36.09455131,43060,630
12350,17304969-jwme,Debt Consolidation,24000,0,,,193.1196811,5,39.59359522,46335,479
12370,17332762-ewic,Home Improvement,65800,0,0,0,113.0698235,0,39.91878984,52110,606
12390,17392612-ajqd,Debt Consolidation,31700,0,0,0,177.2769279,1,35.30277411,43310,579
12410,17398837-gvgz,Debt Consolidation,10000,0,2,3,183.6666667,3,16.41301132,44525,613
12420,17404288-vjja,Home Improvement,41600,0,0,0,304.9828841,3,43.36362433,61120,483
12430,17416434-obev,Debt Consolidation,21700,0,0,0,64.50842359,6,38.07896313,43845,761
12440,17443475-zdqv,Business,4400,0,2,3,315.279587,,22.6499923,43225,522
12460,17460007-mhhj,Home Improvement,66500,0,0,0,113.9844467,0,39.82143976,61930,416
12490,17523969-uuuo,Debt Consolidation,14900,0,0,0,275.2831155,5,39.32388512,61900,554
12510,17702467-jzzd,Home Improvement,7000,0,0,0,209.9862995,0,21.91795226,44805,528
12520,17717958-hkng,Home Improvement,15200,0,0,1,270.2858992,0,29.16014082,45185,567
12530,17718593-jdkz,Debt Consolidation,17400,0,0,0,174.1014596,1,37.6335491,43325,550
12540,17726964-dvdz,Debt Consolidation,10000,1,0,0,118.6666667,6,25.79385631,40125,403
12560,17823443-aedo,Debt Consolidation,17700,0,0,0,70.22587032,0,36.02327677,43800,623
12570,17879732-fbig,Debt Consolidation,13800,0,0,0,295.7213173,0,29.96660243,44815,374
12580,17881976-ohwi,Debt Consolidation,36800,0,0,0,,6,34.98501256,45305,567
12590,17895989-yulj,Home Improvement,15600,0,0,0,261.0214154,0,34.97887956,50990,650
12600,17939733-vgzi,Debt Consolidation,20800,0,0,0,103.0311295,1,21.30427209,40110,589
12610,17962710-bpih,Home Improvement,9300,0,0,1,243.8307278,1,35.96828075,43040,522
12620,17962947-ulok,Debt Consolidation,30300,0,1,0,248.980672,1,40.36185207,52550,762
12640,17973114-hxro,Debt Consolidation,19600,0,0,0,223.6033292,1,33.7552728,44385,651
12650,18007899-ghzy,Debt Consolidation,13100,0,0,0,240.4102919,3,40.73560441,43625,350
12660,18012116-clrp,Debt Consolidation,16000,0,0,0,207.2028505,1,42.5730795,52100,780
12670,18017602-gvrf,Debt Consolidation,13900,0,0,0,153.0875555,0,40.19530694,61990,385
12680,18034100-oiwx,Home Improvement,9100,1,0,0,109.5356355,7,23.08290534,43395,654
12720,18100329-ucbn,Debt Consolidation,25500,0,1,0,308.9581984,1,34.357866,47535,828
12750,18203342-doif,Debt Consolidation,10300,0,0,0,157.5196371,1,33.99236607,52245,655
12770,18222949-gjjn,Debt Consolidation,28900,0,1,0,229.7532224,2,40.63187139,47535,574
12780,18228749-uuhg,Home Improvement,6400,0,,,177.591354,,26.1209597,61820,680
12790,18265824-bden,Home Improvement,23800,0,0,0,119.7119548,2,19.62452779,52240,756
12800,18272582-kqnb,Home Improvement,5000,0,,,178.6925087,,26.44819746,61600,361
12820,18284232-bigf,Debt Consolidation,20800,0,1,0,67.69193855,3,36.06123372,40680,788
12830,18298903-yokp,Home Improvement,4100,1,0,0,100.7746522,0,33.8409199,61555,638
12870,18416568-pkai,Debt Consolidation,28100,1,0,1,129.1666667,1,35.80603127,52475,607
12880,18461136-xrly,Debt Consolidation,10200,0,0,0,259.1638196,0,21.25349814,48725,605
